domicile_places	ISIK.id	years_in_place_after_20	prop_in_place	domicile_koordinaadid	domicile_koht	domicile_linn	domicile_kyla	domicile_lat	domicile_lon	domicile_lat2	domicile_lon2
Tartu%20linn	6	25	0.588235294117647	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Keele	11	26	0.454545454545455								
Stockholmi	21	25	0.369230769230769								
Voltveti	25	5	0.36								
Petersoni	28	7	0.122448979591837								
Tartu%20linn	31	26	0.676470588235294	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Moskvas	32	31	0.441176470588235								
Laiuse	34	21	0.408163265306122								
A-sse	37	41	0.476190476190476	"koordinaadid: 59°26’32""""N : 24°45’33""""E "	Admiraliteedi bassein			"59°26’32""""N"	"24°45’33""""E"	59.4422222222222	24.7591666666667
Tartu%20linn	38	8	0.2	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Pärnu%20linn	46	34	1	"koordinaadid: 58°23’04""""N : 24°29’56""""E "	Pärnu linn	TRUE		"58°23’04""""N"	"24°29’56""""E"	58.3844444444445	24.4988888888889
Balti	47	39	0.575757575757576								
Tallinn	54	32	0.516666666666667	"koordinaadid: 59°26’05""""N : 24°43’54""""E "	City Hotel Tallinn, hotell	FALSE		"59°26’05""""N"	"24°43’54""""E"	59.4347222222222	24.7316666666667
Venemaa	56	31	0.357142857142857	"koordinaadid: 59°26’19""""N : 24°44’41""""E "	Venemaa konsulaat			"59°26’19""""N"	"24°44’41""""E"	59.4386111111111	24.7447222222222
Tartu%20linn	57	24	0.338235294117647	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Viljandi%20linn	61	23	0.366666666666667	"koordinaadid: 58°21’48""""N : 25°35’44""""E "	Viljandi linn	TRUE		"58°21’48""""N"	"25°35’44""""E"	58.3633333333333	25.5955555555556
Lenderi	66	16	0.230769230769231								
Tartu%20linn	67	48	0.573170731707317	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Tartu%20linn	68	41	0.506329113924051	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Kirj	71	21	0.273972602739726	"koordinaadid: 59°25’30""""N : 24°44’37""""E "	Ajakirjandusmaja			"59°25’30""""N"	"24°44’37""""E"	59.425	24.7436111111111
Tartu%20linn	77	10	0.375	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Tartu%20linn	80	12	0.842105263157895	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
Tartu%20linn	81	8	0.285714285714286	"koordinaadid: 58°22’48""""N : 26°43’21""""E "	Tartu linn	TRUE		"58°22’48""""N"	"26°43’21""""E"	58.38	26.7225
