ISIK.id	max_school_name	max_school_level	max_school	years_in_school
6	phil	ülik	5	6
11	Leisi algk	algk	1	14
19	Tü  jur	ülik	5	4
21	Tü phil	ülik	5	17
25	Trt öS	õp-sem	3	2
28	Paistu khkk	khkk	2	11
31				7
32	vallak.õp eksam	k.õp	3	1
34	Tü theol	ülik	5	21
37	Tü agr	ülik	5	20
38	Vändra v-k	ülik	5	23
47	Balti öS Riias	õp-sem	3	3
54	Riia  polütehn eh.osak	polütehn	4	20
56	Tü phil	ülik	5	17
57	Vändra  ja Kodavere  khkk	ülik	5	8
61	Valga Zimse öS	õp-sem	3	4
66	Tü jur	ülik	5	7
67	Tü phil	ülik	5	21
68	Tü theol	ülik	5	14
71	Tü jur	ülik	5	13
77	Tü hist-philol	ülik	5	12
80	Tü rer merc	ülik	5	26
81	Tü jur	ülik	5	8
84	Tall linnak	linnak	1	17
90	Tü theol	ülik	5	12
91	Torgu Aö khkk	khkk	2	9
95	Pb ülik jur	ülik	5	19
100	Tü agr	ülik	5	24
102				17
104	Tü jur	ülik	5	17
106	Tü phil (e filol)	ülik	5	12
111	Tü phil (klass.filol)   c.l.	ülik	5	6
117	Tü phil	ülik	5	16
118	TöS	õp-sem	3	2
124	Tsooru min.k	min.k	2	7
136	Valjala khkk	khkk	2	8
138	Tü rer  merc	ülik	5	9
139	tüt.komm.g	ülik	5	25
140	Purdi Mustla v-k	vallak	1	6
141	Tü jur	ülik	5	2
142	näitl draamateatris	ülik	5	21
143	Kiievi 3.lipn.k	lipn.k	4	4
144	TTü maj	ülik	5	5
145				19
154				7
156	Hiium Nõmba v-k	vallak	1	12
158	Pb ü jur	ülik	5	9
160	Tü zool  c.l.	ülik	5	28
167				42
171	Tü theol	ülik	5	12
173				43
174	Trt Hollmanni öS	õp-sem	3	9
175	Treffn g  (ei lõp).	gümn	2	4
176				6
178	Narva algk	algk	1	5
181	Tü rer  merc	ülik	5	4
182				85
183	Tü theol	ülik	5	12
184	Rakv öS	õp-sem	3	13
186	Tü math-nat	ülik	5	18
188	Tü  chem	ülik	5	27
194	Tü geogr.inst ass	ülik	5	6
196	Tü phil	ülik	5	2
198	Tü math	ülik	5	19
199	Tü theol	ülik	5	19
203	Tü med	ülik	5	13
204	Tü phil	ülik	5	20
205	Hels ülik sm keel ja kirjandus	ülik	5	3
211	Hels ülik	ülik	5	6
212	g IV~kl	gümn	2	13
214				1
215	kooliõp eksam Pärnus	k.õp	3	1
216	Tü jur	ülik	5	15
218	Pb Jansoni kaub.k	kaub.k	4	13
221	Väike-Maarja khkk (Jakob Tamm)	khkk	2	11
222	Tü phil	ülik	5	15
230	Tü theol	ülik	5	18
232				2
242	Tü jur	ülik	5	8
246	Valga  ja Haaps  ped.kurs.	ped.kurs	5	2
253	Mustvee g	gümn	2	22
261	Audru khkk	ülik	5	12
266	Tü phil	ülik	5	8
267	Pb  ülik hist-phil	ülik	5	22
272	Tiflisi polütehn agr	polütehn	4	17
275	Trt öS	õp-sem	3	6
277	Pb ülik phys-math	ülik	5	15
284	Tü theol	ülik	5	20
288	Kuress g	gümn	2	18
292	Zürichi  ü vabak	ülik	5	13
296				4
297	Trt II öS	õp-sem	3	10
300	Tall Aleks g	gümn	2	22
302	Tü phil	ülik	5	23
307	Tü jur	ülik	5	19
312	Paistu khkk	khkk	2	4
319	Palamuse khkk	khkk	2	5
324	k.õp Narvas	k.õp	3	31
330	Tü  theol	ülik	5	13
331				11
332	Balti tehn.ülik  Tü rer merc	ülik	5	2
334	Tü phil (ingl filol)	ülik	5	12
335	TÜ vabakuulaja	ülik	5	24
336	Kaarma öS	õp-sem	3	10
340	Rakv öS	õp-sem	3	15
341	Tü theol	ülik	5	14
344	Pb ü math	ülik	5	16
345	k.õp eksam	k.õp	3	3
346	Tall algk ja kreisk	kreisk	2	1
350	Tori khkk	khkk	2	10
352	Jõhvi g	gümn	2	10
353	Tü phil (ajalugu)	ülik	5	19
355	Tü phil	ülik	5	17
356	Tü jur	ülik	5	11
357				5
358	Tü jur  c.l.	ülik	5	9
367	Portlandi kaub.k	kaub.k	4	11
372	Pärnu g	gümn	2	18
373	Paistu khkk	khkk	2	9
374				2
375	Tü muinast ja etnogr	ülik	5	11
377	algk.õp Trt-s	algk.õp	3	51
378	Tü phil	ülik	5	21
379	Tü dr phil h c	ülik	5	14
383	Tü phil	ülik	5	23
384	Trt reaalk	gümn	2	10
386	Tü math-nat	ülik	5	16
389	Pärnu tüt.k	ülik	5	5
390	Tõrva prl.  A.~Heldti erak	erak	1	3
391				1
395	Valga öS	õp-sem	3	10
401	Valga ped.kurs	ped.kurs	5	16
406	Tall kaub.k	kaub.k	4	8
410	Tü phil	ülik	5	20
411	Halliste khkk	khkk	2	7
412	Trt II öS	õp-sem	3	5
414	Iisaku khkk	khkk	2	15
415				79
423	Tarvastu khkk  (Wühner)	khkk	2	5
425	Tü theol	ülik	5	19
427	EAleksK	aleksk	3	10
428	Tü jur  c.l.	ülik	5	14
432	Tall kaub.k	kaub.k	4	10
433	Paldiski Aö kirikuk ja kõrg.algk	kirikuk	1	5
442	Kadrina  kog õp	ülik	5	44
443	Tü jur	ülik	5	11
450	Treffn g	gümn	2	13
454	Tü med	ülik	5	47
459	Trt  algk ja sks tüt.k	ülik	5	9
464	Tü jur	ülik	5	16
465	med	ülik	5	5
467	Tü phil	ülik	5	6
468	Tall öS	õp-sem	3	15
473	Tü med	ülik	5	7
476	Danzigi tehn.ülik arhit	ülik	5	13
477	Valga öS	õp-sem	3	12
479	Tü vabak	ülik	5	6
481				13
493				66
494	V-d mag chem  Tõnis K. VR II/3  ja Tü füüsikaprofessor dr phil nat Villem  K.	ülik	5	37
500	Tü chem	ülik	5	17
504	Karuse khkk	khkk	2	10
506	Leipzigi ülik agr	ülik	5	10
507	Valga Zimse öS	õp-sem	3	6
514	Pühalepa khkk	khkk	2	3
516				17
523	Kodavere khkk	khkk	2	9
530	Tü med	ülik	5	16
532	vallak.õp eksam Trt-s	k.õp	3	9
533				40
538				1
540	TöS	õp-sem	3	14
543	Riia polütehn arhit.osak	polütehn	4	18
544				92
549	Tü med	ülik	5	16
551				53
554	Tü pharm	ülik	5	7
558	Tü phil  c.l.	ülik	5	24
561				6
568	Kunda öS ekst	õp-sem	3	8
586	Tü jur	ülik	5	18
590	Tü  phil	ülik	5	21
591	Tü jur	ülik	5	5
596	Tü jur  vabak	ülik	5	17
602	Treffn g	gümn	2	5
603				1
605	Haapsalu ped.kurs	ped.kurs	5	12
