coauthor	all_isiks	all_viafs	localid
$aJõgever, Jaan,$d1860-1924	ISIK1002	http://viaf.org/viaf/309678571	7
$aSaar, J.,$cpseud.,$d1860-1924	ISIK1002	http://viaf.org/viaf/309678571	7
$aJõgi, J.	ISIK1006	""	11
$aJõgi, Richard,$d1893-?	ISIK1008	""	13
$aJõgise, Karl,$d1906-1983	ISIK1010	""	16
$aJäger, Elli	ISIK1012	http://viaf.org/viaf/163465124	18
$aJänes, Henno,$d1905-1970	ISIK1016 VEPER1943	http://viaf.org/viaf/121777030	22
$aJänes, H.	ISIK1017	""	23
$aJänes, Hermann,$d1899-1976	ISIK1019	http://viaf.org/viaf/3503149544586900490002	25
$aOsvi,$cpseud.,$d1899-1976	ISIK1019	http://viaf.org/viaf/3503149544586900490002	25
$aAnso, Hendrik,$d1883-?	ISIK102	""	26
$aJänes, J	ISIK1020	""	27
$aJärv, Jaak,$d1852-1920	ISIK1026	http://viaf.org/viaf/24772948	33
$aJärv, Johannes	ISIK1027	""	34
$aJärve, Jaan,$d1894-1945	ISIK1028	http://viaf.org/viaf/4175149544592100490007	35
$aJärve, Peeter,$d1874-1936	ISIK1029	""	36
$aJärvik, Mart,$d1897-1956	ISIK1031 VEPER1462	http://viaf.org/viaf/100378157	39
$aJürgenfeldt, Eduard,$d1900-?	ISIK1034	""	42
$aJürgens, Johannes,$d1889-1921	ISIK1037	""	45
$aJürgens, Mihkel,$d1820-1874	ISIK1039	http://viaf.org/viaf/6149542758700301192	47
$aJürgenson, Aleksander,$d1905-1945	ISIK1041	""	50
$aJürgenson, J.	ISIK1045	""	54
$aJürgenson, Jaan,$d1876-?	ISIK1045	""	54
$aJürgenstein, Anton,$d1861-1933	ISIK1049	http://viaf.org/viaf/25035317	58
$aJürgenstein, Johann,$d1854-1914	ISIK1052	http://viaf.org/viaf/3146149544584000490005	62
$aLill, Johann,$cpseud.,$d1854-1914	ISIK1052	http://viaf.org/viaf/3146149544584000490005	62
$aJüris, Johannes Leopold	ISIK1057	http://viaf.org/viaf/305381376	67
$aJüris, Johannes Leopold,$d1870-1937	ISIK1057	http://viaf.org/viaf/305381376	67
$aJürma, Mall,$d1901-1984	ISIK1058 VEPER666	http://viaf.org/viaf/19794789	68
$aJürmann, Michael,$d1853-1932	ISIK1059	http://viaf.org/viaf/24149542977400302913	69
$aAntik, Agnes,$d1903-1995	ISIK106	http://viaf.org/viaf/29152199218414281472	70
$aJürna, Mihkel,$d1899-1972	ISIK1061	http://viaf.org/viaf/124147095081925081951	72
$aKarurahu, Aksel,$d1902-1965	ISIK1069	http://viaf.org/viaf/7967149544621100490008	80
$aUndla, Ell,$cpseud.,$d1902-1965	ISIK1069	http://viaf.org/viaf/7967149544621100490008	80
